Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,llm_cuisine
The Best Classic Beef Stroganoff,4.5,"This is the best beef stroganoff recipe there is! Recipe can be doubled, but don't freeze. Tenderloin can be expensive, so sometimes I opt for a cheaper cut of beef like sirloin, but this recipe is best with tenderloin. Serve over cooked noodles or rice.",30 mins,40 mins,1 hr 10 mins,6,"3 tablespoons all-purpose flour | 1 ½ teaspoons salt | ¼ teaspoon ground black pepper | 1 pound beef tenderloin | ¼ cup butter | ½ cup water | ½ cup chopped onion | 1 clove garlic, cut in half | 1 pound mushrooms | 1 (10.5 ounce) can condensed cream of chicken soup | 1 cup sour cream",https://www.allrecipes.com/thmb/HEjy0eHhITUZycU0WAI0her2eWU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262073-the-best-classic-beef-stroganoff-LaDonna-Langwell-4x3-696500f750ff405cb6539f11db2592de.jpg,30.0,40.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",American
Easy Never Forgotten Guacamole,4.5,This guacamole has been a hit at our house for years. Great for the Superbowl or any occasion. Sour cream and cream cheese make the guac extra creamy. Spice it up with crushed red pepper.,10 mins,,40 mins,16,"3 avocados - peeled, pitted and diced | 1 tablespoon sour cream | 2 (3 ounce) packages cream cheese, softened | 2 tablespoons salsa | 1 pinch salt | 1 dash ground black pepper | 1 dash garlic salt | 1 dash onion powder",https://www.allrecipes.com/thmb/lfPLtUz5H3SUVy_73HmeM6DyCoU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/22972easy-never-forgotten-guacamoleYoly4x3-59c4dbbafe544878935a703d1f24851d.jpg,10.0,,40.0,30.0,,,,Mexican
Incredible Turkey Brine,4.7,"This turkey brine imparts amazing flavor and keeps it moist no matter how long you cook it. The allspice berries give this recipe a unique taste. Kosher salt is the best option for any brine, but you can substitute 1 cup table salt. I used this brine for a turkey that took 7 hours to cook, and it was still one of the juiciest turkeys I ever made. This recipe makes enough for a 17-pound turkey.",10 mins,10 mins,20 mins,1,"2 gallons water | 1 ¼ cups kosher salt | ⅓ cup light brown sugar | ¼ cup Worcestershire sauce | 6 cloves garlic, chopped | 4 sprigs fresh thyme | 1 sprig fresh rosemary | 1 tablespoon whole black peppercorns | 1 ½ teaspoons whole allspice berries (Optional) | 1 bay leaf",https://www.allrecipes.com/thmb/FKQmmZVOQaXUeIXfUhpduSzMQFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1082427-be477412c0e9447c821646ba61f835ba.jpg,10.0,10.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Dutch Oven Whole Wheat Bread,4.2,"Here is delicious whole wheat bread with reduced sodium, baked in a Dutch oven.",20 mins,40 mins,9 hrs 45 mins,10,1 ½ cups warm water | 1 teaspoon active dry yeast | 1 teaspoon agave nectar | 3 cups whole wheat flour | ½ teaspoon salt,https://www.allrecipes.com/thmb/4GjOEaJg_YSmzafVa6UUmfZsXcg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2073576-dutch-oven-whole-wheat-bread-My-Healthy-Kitchen-4x3-1-1bfe1c5e08ca4337b295904fb9898ad5.jpg,20.0,40.0,585.0,525.0,E,Long Wait,Wait time > 30 min,American
Emma's Belgian Waffles,4.4,"These waffles taste wonderful, but are simple to make and include self-rising flour instead of yeast.",10 mins,20 mins,1 hr 10 mins,6,"2 egg yolks | 5 tablespoons white sugar | 1 ½ teaspoons vanilla extract | ½ cup butter, melted | 1 teaspoon salt | 2 ¾ cups self-rising flour | 2 cups warm milk | 2 egg whites",https://www.allrecipes.com/thmb/83hduHTrgSCGjkMOc23OpxK0cgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1752326-30d89dd7233044e48b7934aae4e62a7c.jpg,10.0,20.0,70.0,40.0,E,Long Wait,Wait time > 30 min,American
Stuffed Peppers,4.5,"This stuffed peppers recipe fills hollow green bell peppers with browned ground beef filling, cooked rice, and a seasoned tomato sauce for a simple and tasty meal. Top with shredded cheese 10 minutes before they finish baking if you like.",5 mins,1 hr 25 mins,1 hr 30 mins,6,"1 cup cold water | ½ cup uncooked long grain white rice | 1 tablespoon vegetable oil | 1 pound ground beef | 6 medium green bell peppers | 16 ounces tomato sauce, divided | 1 tablespoon Worcestershire sauce | ¼ teaspoon garlic powder | ¼ teaspoon onion powder | salt and ground black pepper to taste | 1 teaspoon Italian seasoning",,5.0,85.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",American
Lime Salad,4.4,"My mom used to serve this green Jell-O with carrots and cabbage every Christmas on a bed of crispy iceberg lettuce, surrounded by green and red grapes.",10 mins,,2 hrs 10 mins,8,1 (6 ounce) package lime flavored Jell-O® gelatin mix | ¾ cup boiling water | ¼ teaspoon salt | ¾ cup cold water | 1 cup shredded cabbage | ½ cup grated carrots | ½ cup chopped walnuts | nonstick cooking spray,https://www.allrecipes.com/thmb/XkDyyjLH4dveHKTBmO1m0w9VFBQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/690387-5a163c9ca1364208a0d26ca82c63478d.jpg,10.0,,130.0,120.0,,,,American
Cajun Spiced Roasted Pumpkin Seeds,4.6,"Double or triple this recipe for Cajun spiced roasted pumpkin seeds. Depending on how many cups of seeds you have — one large pumpkin will generally yield 1 cup of seeds, and smaller pie pumpkins will yield about the same amount. Toss a salad with these seeds, sprinkle over a chicken dish, or serve as a snack.",15 mins,45 mins,1 hr,5,"1 cup raw whole pumpkin seeds, washed and dried | 1 teaspoon paprika (Optional) | ¾ teaspoon Cajun seasoning, or to taste | salt to taste | 1 tablespoon butter, melted | 2 dashes Worcestershire sauce",https://www.allrecipes.com/thmb/6wRA4eu-aFdKknlluBW3z2izwDE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/959322-ecff80f16d754614a984436083696985.jpg,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Easy Rainbow Pasta Salad,4.6,This rainbow pasta salad is really quick and easy to make. Great for picnics and summer parties.,15 mins,10 mins,1 hr 25 mins,8,"1 (16 ounce) package tri-colored pasta assortment | 2 large tomatoes, diced | 1 large cucumber, peeled and diced | 1 red onion, finely chopped | 1 (16 ounce) bottle Italian-style salad dressing",https://www.allrecipes.com/thmb/s83DL7QTXVdslUrgLM4yYwIMkK8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6471771-c6880fe9785b40288cd5cd26aaac9325.jpg,15.0,10.0,85.0,60.0,E,Long Wait,Wait time > 30 min,American
Lemon Poppy Seed Loaf,4.2,"This has a nice fresh lemon flavor. Makes nice muffins, also.",,,,24,"3 cups all-purpose flour | 1 ½ teaspoons baking soda | ¾ teaspoon salt | ¾ cup butter, softened | 2 cups white sugar | 3 eggs | ½ cup lemon juice | ¾ cup plain yogurt | 3 tablespoons lemon zest | ½ cup poppy seeds",https://www.allrecipes.com/thmb/bai6nTYpy1UkaVptc3B_QquSOIQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/72596-f83b4528032b4f08be6aff429b5e99ff.jpg,,,,,,,,American
